"Username","Tweet","Likes","Timestamp"
"The Telegraph
@Telegraph
·
4h"," Planes leaving and flying to the UK have been grounded following an issue with air traffic control which has resulted in the closure of air space

Follow the latest on our live blog 
https://telegraph.co.uk/news/2023/08/28/air-traffic-control-grounds-uk-flights-live-latest-updates/…",19,2023-08-28T12:09:14.000Z
"The Telegraph
@Telegraph
·
4h","Telegraph Money takes a look what ‘dressing’ your property can offer

Would you be tempted? Find out more below ",4,2023-08-28T12:03:02.000Z
"The Telegraph
@Telegraph
·
4h"," Top tips for keeping an audience rapt rather than repulsed, from silly puns to shaggy dog stories

Find out more ",6,2023-08-28T12:17:42.000Z
"Telegraph Rugby
@TelegraphRugby
·
4h","In an exclusive extract from her autobiography, 
@MaggieAlphonsi
 recalls a defining day in her career, an encounter with today's England captain

#TelegraphRugby",12,2023-08-28T12:06:45.000Z
"The Telegraph
@Telegraph
·
5h"," Planes grounded flying to and from UK as airspace shut

Read more: https://telegraph.co.uk/news/2023/08/28/planes-grounded-flying-to-and-from-uk-as-airspace-shut/…",49,2023-08-28T11:14:25.000Z
"The Telegraph
@Telegraph
·
4h"," Planes leaving and flying to the UK have been grounded following an issue with air traffic control which has resulted in the closure of air space

Follow the latest on our live blog 
https://telegraph.co.uk/news/2023/08/28/air-traffic-control-grounds-uk-flights-live-latest-updates/…",19,2023-08-28T12:09:14.000Z
"The Telegraph
@Telegraph
·
4h","Telegraph Money takes a look what ‘dressing’ your property can offer

Would you be tempted? Find out more below ",4,2023-08-28T12:03:02.000Z
"The Telegraph
@Telegraph
·
4h"," Top tips for keeping an audience rapt rather than repulsed, from silly puns to shaggy dog stories

Find out more ",6,2023-08-28T12:17:42.000Z
"Telegraph Rugby
@TelegraphRugby
·
4h","In an exclusive extract from her autobiography, 
@MaggieAlphonsi
 recalls a defining day in her career, an encounter with today's England captain

#TelegraphRugby",12,2023-08-28T12:06:45.000Z
"The Telegraph
@Telegraph
·
5h"," Planes grounded flying to and from UK as airspace shut

Read more: https://telegraph.co.uk/news/2023/08/28/planes-grounded-flying-to-and-from-uk-as-airspace-shut/…",49,2023-08-28T11:14:25.000Z
